area,epoch,flash_n,mag_ratio_mean,mag_ratio_sem,angle_deg_mean,angle_deg_sem,n_sessions
VISp,active,5,1.6664672817047892,0.38017442652793976,28.697099411309566,8.788191246548346,3
VISp,active,6,1.6623956675199114,0.3552937374319968,28.190506788788056,8.007626770392106,3
VISp,active,7,1.627885502635935,0.3510609628790529,27.357015409756254,7.414354631789871,3
VISp,active,8,1.5371854529615236,0.2932950741417673,25.953028397771742,7.394466854232472,3
VISp,passive,1,1.0,0.0,0.0,0.0,3
VISp,passive,2,0.9645832454541757,0.011214761209030671,6.056464974017142,1.1973738631368813,3
VISp,passive,3,0.9457482721065995,0.020982716341248233,7.173289457940761,0.902789913005606,3
VISp,passive,4,0.945605377233615,0.017669397673426554,7.868347922591849,1.0183366826011786,3
VISp,passive,5,0.9076821001781271,0.018135570161098225,9.291317033868284,0.8535671891376728,3
VISp,passive,6,0.9129879995826871,0.025835547962577816,9.63603301968295,1.2809352402771794,3
VISp,passive,7,0.9003106258111894,0.025478195411220286,10.17784688599952,0.7627860113859306,3
VISp,passive,8,0.9054827978078069,0.02826655720942407,11.588966337105726,1.4445515448602144,3
VISpm,active,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
VISpm,active,2,1.803231976468041,0.30623802229905117,41.99904987805663,7.891206029858374,3
VISpm,active,3,1.9701088854807267,0.5143104000774834,47.966354428092735,8.970210573212034,3
VISpm,active,4,2.0473276987664746,0.5691075171076243,50.02087065788447,10.712427291791087,3
VISpm,active,5,1.9565241308403098,0.5550101938860426,51.44959423394888,10.369246751963892,3
VISpm,active,6,1.9285351799618577,0.5184616079106347,50.08121802593973,9.540146871010114,3
VISpm,active,7,1.829611089722101,0.4436062905781549,49.836685815247186,9.541612929195763,3
VISpm,active,8,1.7171109754379763,0.4203470949573483,48.35823960829924,8.567986829742358,3
VISpm,passive,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
VISpm,passive,2,0.9791451116424796,0.023908105223593365,12.516489302334472,1.4905021512045327,3
VISpm,passive,3,0.9866845129565879,0.008564671009435573,13.355634195027777,1.560070004999451,3
VISpm,passive,4,0.9578118962944037,0.028263282050875117,14.642165680837076,2.1325985696744567,3
VISpm,passive,5,0.9262769189404919,0.01777173776080385,15.487021415474855,0.6318949541034652,3
VISpm,passive,6,0.9474492928956746,0.0333734298505421,16.292969407188608,1.4686921635081605,3
VISpm,passive,7,0.9235116595357661,0.02003247625626252,17.12154006901483,1.5716343542999267,3
VISpm,passive,8,0.9198860179381648,0.02878122972008393,16.980890889410375,1.932295573206921,3
VISrl,active,1,1.0,0.0,0.0,0.0,3
VISrl,active,2,1.0446473821363136,0.11406432730604422,37.048731734719894,5.562261912649081,3
VISrl,active,3,1.002101887840904,0.0847087571075137,42.18924297171541,2.894016145831401,3
VISrl,active,4,1.0621436292068238,0.10243444133568015,44.1281499900846,8.479170866987205,3
VISrl,active,5,1.0525509804365156,0.11463554612154077,40.09488906162106,4.079672836704834,3
VISrl,active,6,1.104610503870845,0.1534009183839544,43.28453117179322,9.512264761902532,3
VISrl,active,7,1.129566945252182,0.1629704168835324,42.95271090705177,7.913796559532255,3
VISrl,active,8,1.091818914267961,0.13034648274569136,39.605721039522116,3.8505729466055523,3
VISrl,passive,1,1.0,0.0,2.84591215417198e-07,2.845912154171979e-07,3
VISrl,passive,2,0.9714800241906335,0.016238150455276535,13.926226808706025,2.6233189823752743,3
VISrl,passive,3,0.9200656779467707,0.00884370539382089,13.026885594348826,0.6436155178601581,3
VISrl,passive,4,0.9046985129707257,0.04188169783198325,13.399608916728747,3.0070534813863428,3
VISrl,passive,5,0.8732320817341015,0.021924480709225147,13.499232585779076,1.4284139702591163,3
VISrl,passive,6,0.88398758467523,0.02035764269004916,15.839812107149136,2.1031742428544904,3
VISrl,passive,7,0.873287670938367,0.004571573766701839,15.964236120493426,0.8470292206418064,3
VISrl,passive,8,0.8799455933725658,0.015235508563071145,14.806850418666947,1.8120091228392667,3
